migration_id,data_domain,check_type,source_value,target_value,tolerance,status,evidence_classification
mig-legacy-tms-sqlmi,customers,row_count,8,8,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,customers,business_key_count,8,8,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,customers,duplicate_key_count,0,0,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,customers,null_profile,0,0,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,customers,checksum,d1de0adaff1436f1142a816566e2f3a75bb9dda65e67d9adb0968f9e79bf81eb,d1de0adaff1436f1142a816566e2f3a75bb9dda65e67d9adb0968f9e79bf81eb,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,depots,row_count,4,4,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,depots,business_key_count,4,4,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,depots,duplicate_key_count,0,0,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,depots,null_profile,0,0,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,depots,checksum,787f9ca77d067fd84aaacaeecb83984f02d466687c08407e5c019daa2e89bbf6,787f9ca77d067fd84aaacaeecb83984f02d466687c08407e5c019daa2e89bbf6,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,routes,row_count,12,12,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,routes,business_key_count,12,12,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,routes,duplicate_key_count,0,0,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,routes,null_profile,0,0,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,routes,checksum,a31ce56a5f4e34d80415d9fdf61b4c4d2d7588486a47d8c1506fc766b5de6c5a,a31ce56a5f4e34d80415d9fdf61b4c4d2d7588486a47d8c1506fc766b5de6c5a,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,vehicles,row_count,8,8,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,vehicles,business_key_count,8,8,0 unless financial sanity check,passed,locally validated
mig-legacy-tms-sqlmi,vehicles,duplicate_key_count,0,0,0 unless financial sanity check,passed,locally validated
